Title,PDF,EPUB,Other Links
Developer Motivation,https://leanpub.com/s/AEEFA7F205FF4B329C4CABE08E959616.pdf,https://leanpub.com/s/AEEFA7F205FF4B329C4CABE08E959616.epub,
Service Mesh Primer,https://leanpub.com/s/A7FC849B8E53459AB71CC13068DCB5C3.pdf,https://leanpub.com/s/A7FC849B8E53459AB71CC13068DCB5C3.epub,
Agentic AI,https://leanpub.com/s/A90D80F64F4C41A590E1F9C97641B8AB.pdf,,
Conversations On Data Science,https://leanpub.com/s/F8BFA6116A2C4D0D930382BA56240159.pdf,https://leanpub.com/s/F8BFA6116A2C4D0D930382BA56240159.epub,
Asking for a Better Future,https://leanpub.com/s/94118137C8CF40F98E46A4935662EC25.pdf,https://leanpub.com/s/94118137C8CF40F98E46A4935662EC25.epub,
Building effective LLM-based applications with Semantic Kernel,https://leanpub.com/s/0B10C5AC02DE4B6CB6B6B1FCD1C2DC7B.pdf,https://leanpub.com/s/0B10C5AC02DE4B6CB6B6B1FCD1C2DC7B.epub,
Architectural Metapatterns,https://leanpub.com/s/A9F89FCA2FD1461BB2F20A76ECA399C0.pdf,https://leanpub.com/s/A9F89FCA2FD1461BB2F20A76ECA399C0.epub,
All Hands on Tech,https://leanpub.com/s/14454FD25D8648D089221A9F029A86AD.pdf,https://leanpub.com/s/14454FD25D8648D089221A9F029A86AD.epub,
Undefined Behavior,https://leanpub.com/s/96F686E001AE48AEABEE442789809989.pdf,https://leanpub.com/s/96F686E001AE48AEABEE442789809989.epub,
What to Look for in a Code Review,https://leanpub.com/s/46344C3B1A104E81A3F950AC8CC4D2A3.pdf,https://leanpub.com/s/46344C3B1A104E81A3F950AC8CC4D2A3.epub,
Prompt Genius: Generate Python Web Applications using AI,https://leanpub.com/s/7F33796F88A64BDCA8FDF7D3388B0436.pdf,https://leanpub.com/s/7F33796F88A64BDCA8FDF7D3388B0436.epub,
Estrategias de Aplicaciones Modernas,https://leanpub.com/s/F27B9D1E2E8648C2AD22FD67278459A6.pdf,https://leanpub.com/s/F27B9D1E2E8648C2AD22FD67278459A6.epub,
Complete Guide to Shodan,https://leanpub.com/s/1A64C9B44B584C33A19FC5DE64F1DAEA.pdf,https://leanpub.com/s/1A64C9B44B584C33A19FC5DE64F1DAEA.epub,https://leanpub.com/s/1A64C9B44B584C33A19FC5DE64F1DAEA.zip
Executive Data Science,https://leanpub.com/s/E4DCA77E1E9E4C5FAC941B4BABB09599.pdf,https://leanpub.com/s/E4DCA77E1E9E4C5FAC941B4BABB09599.epub,
Desarrollo de Aplicaciones Web con React.js y Redux.js,https://leanpub.com/s/EF6040782F9449B88614C8DD3C968B2E.pdf,https://leanpub.com/s/EF6040782F9449B88614C8DD3C968B2E.epub,
Docker para desenvolvedores,https://leanpub.com/s/162760071FDC4737BAFBFD616F2DD6B1.pdf,https://leanpub.com/s/162760071FDC4737BAFBFD616F2DD6B1.epub,
Gen Z Real Estate Cheat Code,https://leanpub.com/s/5E9274C29452422FA7E62AA3EA4D7777.pdf,,
Aprende Python desde cero a experto,https://leanpub.com/s/A061C0E0A6EF4AD292EE9B5AB840FA3A.pdf,https://leanpub.com/s/A061C0E0A6EF4AD292EE9B5AB840FA3A.epub,
Latinas en Polonia: Tips para vivir bonito,,https://leanpub.com/s/97AA22E1E2154AEC9A19266AB9D6E1A3.epub,
Mastering Software Development in R,https://leanpub.com/s/45E076AEC31C408C87FD90248D910E3B.pdf,https://leanpub.com/s/45E076AEC31C408C87FD90248D910E3B.epub,
Regression Models for Data Science in R,https://leanpub.com/s/B63F315CF8494E44AB14F54733AD1050.pdf,https://leanpub.com/s/B63F315CF8494E44AB14F54733AD1050.epub,
Introduction to Data Science,https://leanpub.com/s/A921D3B0B59C4B31A9E2466F2EB5C3E5.pdf,,
NixOS in Production,https://leanpub.com/s/54492A2D0851471DB824D8E5A0CB41D8.pdf,https://leanpub.com/s/54492A2D0851471DB824D8E5A0CB41D8.epub,
Understand Your Domain First,https://leanpub.com/s/83159D50DE104F17A03850A2F0A170F8.pdf,https://leanpub.com/s/83159D50DE104F17A03850A2F0A170F8.epub,
BizTech Evolution,https://leanpub.com/s/71B8B42CA81449CA93E8F5796271FB72.pdf,https://leanpub.com/s/71B8B42CA81449CA93E8F5796271FB72.epub,
EZ Tools Manuals,https://leanpub.com/s/98F86D9388234DC8A37432D7AEFEF5E3.pdf,https://leanpub.com/s/98F86D9388234DC8A37432D7AEFEF5E3.epub,
Rust Projects - Write a Redis Clone,https://leanpub.com/s/E79B009AFA0243D68AC42ACBB474B9F2.pdf,,
Get Started Functional Programming with JavaScript - filter(),https://leanpub.com/s/18EE4ACF17B8408CB3F3816DE58FED81.pdf,https://leanpub.com/s/18EE4ACF17B8408CB3F3816DE58FED81.epub,http://leanpub.com/courses/leanpub/fp-js-filter
PHP: Composer,https://leanpub.com/s/8BAE4AA4A05A4B1688A6E2B3C7ED6DB2.pdf,https://leanpub.com/s/8BAE4AA4A05A4B1688A6E2B3C7ED6DB2.epub,
Angular Reactive Forms,https://leanpub.com/s/B274B66CC8654C1DA99B6C8FE5934841.pdf,https://leanpub.com/s/B274B66CC8654C1DA99B6C8FE5934841.epub,
Machine Learning Made Simple,https://leanpub.com/s/15F42FF94ED04C7BBCB01FDE05089605.pdf,https://leanpub.com/s/15F42FF94ED04C7BBCB01FDE05089605.epub,http://leanpub.com/courses/leanpub/8pillarmachinelearningalgorithmsinpython
Creating a Virtual Business,https://leanpub.com/s/572C222040674E25B25A9B47B5DE8549.pdf,https://leanpub.com/s/572C222040674E25B25A9B47B5DE8549.epub,http://leanpub.com/courses/leanpub/creatingavirtualbusiness
ChatGPT Monetization - Harness the Power of AI,https://leanpub.com/s/9D0F9D8BF5D04146AD4E08DC4696377D.pdf,https://leanpub.com/s/9D0F9D8BF5D04146AD4E08DC4696377D.epub,http://leanpub.com/courses/leanpub/chatgpt-monetization
TDD Day,https://leanpub.com/s/16653C773182480096034143115D7371.pdf,https://leanpub.com/s/16653C773182480096034143115D7371.epub,http://leanpub.com/courses/leanpub/tddday
The Smartest Way to Learn Python Regex,https://leanpub.com/s/6E4F0083CC5B4B0AACAE2FA3BFBF57CF.pdf,https://leanpub.com/s/6E4F0083CC5B4B0AACAE2FA3BFBF57CF.epub,http://leanpub.com/courses/leanpub/thesmartestwaytolearnpythonregex
Flask Masterclass,https://leanpub.com/s/206AA5B20278435DAE6A0403CC39CD86.pdf,https://leanpub.com/s/206AA5B20278435DAE6A0403CC39CD86.epub,http://leanpub.com/courses/leanpub/flask-masterclass
Programming for Kids,,,http://leanpub.com/courses/leanpub/programmingforkids
Effective Web Development: Tips for Better UX & SEO,,,http://leanpub.com/courses/leanpub/effective-web-development
Webinar Trading como un Profesional,https://leanpub.com/s/7F1B681F8F3F41C3B518931ECA15BBE1.pdf,https://leanpub.com/s/7F1B681F8F3F41C3B518931ECA15BBE1.epub,http://leanpub.com/courses/leanpub/webinartradingcomounprofesional
AI for Efficient Programming,,,http://leanpub.com/courses/fredhutch/ai_for_software
Simplified JavaScript for Very Important Programmers,https://leanpub.com/s/379E78A53D0E4BED8DC45D7C7397AE21.pdf,https://leanpub.com/s/379E78A53D0E4BED8DC45D7C7397AE21.epub,
Unethical Software Engineering,https://leanpub.com/s/A3602B3B21F047C48925879A715C0D15.pdf,https://leanpub.com/s/A3602B3B21F047C48925879A715C0D15.epub,
You're Not Your Job,https://leanpub.com/s/EA0A078118904DA2B14DB646256940FA.pdf,,
Getting MEAN with MEMEs,https://leanpub.com/s/4C04E7C8525C48D2AF0F46197363A080.pdf,https://leanpub.com/s/4C04E7C8525C48D2AF0F46197363A080.epub,
Lenses for the Mere Mortal: PureScript Edition,https://leanpub.com/s/FF7061DA2351453EB6EE269AC72C140E.pdf,https://leanpub.com/s/FF7061DA2351453EB6EE269AC72C140E.epub,
The Math Behind Retiring Early,https://leanpub.com/s/EB70469CF2B941F5AF3EDCAB48F04CB8.pdf,https://leanpub.com/s/EB70469CF2B941F5AF3EDCAB48F04CB8.epub,
Changing Your Team From The Inside,https://leanpub.com/s/E7DD2F9C53824FF7845C5536F64C106C.pdf,https://leanpub.com/s/E7DD2F9C53824FF7845C5536F64C106C.epub,
Hands on Next.js,https://leanpub.com/s/7B17BE8F2E5844019893A851500A3B39.pdf,https://leanpub.com/s/7B17BE8F2E5844019893A851500A3B39.epub,
Awesome Coding,https://leanpub.com/s/66C60E0F596F46A198EFFFA1FB2A8D85.pdf,https://leanpub.com/s/66C60E0F596F46A198EFFFA1FB2A8D85.epub,
Theory of Quantum Gravitation : Theory of Everything,https://leanpub.com/s/66582271C3A8406295132A521E916501.pdf,https://leanpub.com/s/66582271C3A8406295132A521E916501.epub,
Docker Seguro,https://leanpub.com/s/E52EAFE04926463184FAB3D6F593EABD.pdf,,
Refactoring Tweaks,https://leanpub.com/s/AE5AD568F125482780C768319CE039E9.pdf,,
Refactoring Tweaks - Workbook,https://leanpub.com/s/4385CE35948C4592807589AA6ECE5BF8.pdf,,
12-Point Checklist For Building An Online Business,https://leanpub.com/s/7943AF08BCBE4F49A7EDBCC06183BAD6.pdf,https://leanpub.com/s/7943AF08BCBE4F49A7EDBCC06183BAD6.epub,
Bots,https://leanpub.com/s/7FC0FC06338F4931AF48A80B88663280.pdf,https://leanpub.com/s/7FC0FC06338F4931AF48A80B88663280.epub,
The Python Bootcamp,https://leanpub.com/s/CA997A740D79472FAA9F7EB161F52666.pdf,https://leanpub.com/s/CA997A740D79472FAA9F7EB161F52666.epub,http://leanpub.com/courses/leanpub/python_bootcamp
Organic Prompting,https://leanpub.com/s/0B449D502ADC47C8A97E81043A1DE318.pdf,https://leanpub.com/s/0B449D502ADC47C8A97E81043A1DE318.epub,
Lisp for the Web,https://leanpub.com/s/7DEC4DD5A93544D4BF9869BEA447D1DA.pdf,https://leanpub.com/s/7DEC4DD5A93544D4BF9869BEA447D1DA.epub,
Cryptocurrency From Beginner to Paid Professional,https://leanpub.com/s/4FD6728C3EC147EDBCCB99E8E8424A3F.pdf,https://leanpub.com/s/4FD6728C3EC147EDBCCB99E8E8424A3F.epub,
The Anatomy Of Domain-Driven Design - Booklet,https://leanpub.com/s/F58580C3E4DF4DFAAD1D8FF5237FE975.pdf,,
Ansible Automation Platform By Example,https://leanpub.com/s/3A51E01590124152814A945920F7F5F5.pdf,https://leanpub.com/s/3A51E01590124152814A945920F7F5F5.epub,
Solidity Programming Essentials,https://leanpub.com/s/6CFFC01A78A34256B815E502A5E0F3E9.pdf,https://leanpub.com/s/6CFFC01A78A34256B815E502A5E0F3E9.epub,
Lisp Web Tales,https://leanpub.com/s/45E54F9D94BA4B79AAF1004B5DFE2744.pdf,https://leanpub.com/s/45E54F9D94BA4B79AAF1004B5DFE2744.epub,
